Email,Nombre,Apellidos,Programa,Promoción
admin@thepowermba.com,Deepak,Kumar,ewwe,wewe
admin@thepowermba.com,Deepak,Kumar,ewwe,3ª Promo (8 ENE)
admin@thepowermba.com,Deepak,Kumar,ewwe,3ª Promo (23 Oct)
admin@thepowermba.com,Deepak,Kumar,ewwe,4ª Promo (23 Oct)
admin@thepowermba.com,Deepak,Kumar,ewwe,11112ª Promo (27 Nov)
siddhantsassarastogi293@gmail.com,Ayush ,ThePowerMBA,ewwe,11113ª Promo (27 Nov)
csv@powermba.com,test,csv,ewwe,11114ª Promo (27 Nov)
pabajas@mapfre.com,Patricia ,dasd fdafd,ewwe,11112ª Promo (27 Nov)
asanzlo@mapfre.com,Alicia,dasd fdafd,ewwe,11112ª Promo (27 Nov)
mvieite@mapfre.com,Marta ,dasd fdafd,ewwe,11112ª Promo (27 Nov)
testtag@thepowermba.com,testTag,testTag,ewwe,11112ª Promo (27 Nov)
testtag@thepowermba.com,testTag,testTag,ewwe,1ª Promo (23 Oct)
